"378","28","Cycling Men's Tandem Sprint, 2,000 metres"
"379","43","Freestyle Skiing Women's Halfpipe"
"380","6","Athletics Women's Heptathlon"
"381","28","Cycling Men's Points Race"
"382","38","Synchronized Swimming Women's Solo"
"383","24","Equestrianism Mixed Dressage, Individual"
"384","24","Equestrianism Mixed Dressage, Team"
"385","5","Cross Country Skiing Men's 18 kilometres"
"386","8","Swimming Men's 100 metres Breaststroke"
"387","33","Figure Skating Mixed Ice Dancing"
"388","25","Shooting Mixed Free Pistol, 50 metres"
"389","10","Sailing Women's Skiff"
"390","30","Canoeing Men's Kayak Doubles, 10,000 metres"
"391","47","Triathlon Men's Olympic Distance"
"392","10","Sailing Women's One Person Dinghy"
"393","5","Cross Country Skiing Women's 30 kilometres"
"394","5","Cross Country Skiing Women's 15 km Skiathlon"
"395","21","Rowing Men's 17-Man Naval Rowing Boats"
"396","46","Beach Volleyball Women's Beach Volleyball"
"397","16","Weightlifting Men's Super-Heavyweight"
"398","21","Rowing Men's Lightweight Coxless Fours"
"399","17","Wrestling Men's Light-Flyweight, Greco-Roman"
"400","30","Canoeing Men's Canadian Singles, 1,000 metres"
"401","10","Sailing Mixed 5.5 metres"
"402","24","Equestrianism Mixed Jumping, Team"
"403","29","Diving Men's Synchronized Platform"
"404","50","Snowboarding Men's Halfpipe"
"405","30","Canoeing Women's Kayak Singles, Slalom"
"406","16","Weightlifting Women's Flyweight"
"407","8","Swimming Women's 100 metres Breaststroke"
"408","8","Swimming Women's 200 metres Breaststroke"
"409","17","Wrestling Men's Middleweight B, Greco-Roman"
"410","6","Athletics Men's Stone Throw"
"411","6","Athletics Men's Javelin Throw, Freestyle"
"412","6","Athletics Men's Pentathlon (Ancient)"
"413","25","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
"414","8","Swimming Women's 100 metres Butterfly"
"415","16","Weightlifting Men's Heavyweight I"
"416","6","Athletics Women's 3,000 metres Steeplechase"
"417","6","Athletics Men's Shot Put, Both Hands"
"418","48","Ski Jumping Men's Large Hill, Individual"
"419","48","Ski Jumping Men's Large Hill, Team"
"420","25","Shooting Women's Trap"
"421","9","Badminton Men's Doubles"
"422","8","Swimming Women's 4 x 200 metres Freestyle Relay"
"423","6","Athletics Men's 10 kilometres Walk"
"424","6","Athletics Women's 20 kilometres Walk"
"425","6","Athletics Women's 80 metres Hurdles"
"426","10","Sailing Men's One Person Heavyweight Dinghy"
"427","43","Freestyle Skiing Women's Aerials"
"428","13","Art Competitions Mixed Painting, Paintings"
"429","31","Tennis Mixed Doubles, Covered Courts"
"430","28","Cycling Men's Madison"
"431","13","Art Competitions Mixed Sculpturing, Statues"
"432","51","Rugby Men's Rugby"
"433","16","Weightlifting Men's Heavyweight II"
"434","30","Canoeing Women's Kayak Doubles, 500 metres"
"435","52","Short Track Speed Skating Men's 5,000 metres Relay"
"436","28","Cycling Men's Individual Time Trial"
"437","1","Judo Women's Heavyweight"
"438","30","Canoeing Men's Kayak Doubles, 1,000 metres"
"439","12","Gymnastics Men's Individual All-Around, 5 Events"
"440","17","Wrestling Men's Super-Heavyweight, Freestyle"
"441","11","Biathlon Women's 10 kilometres Pursuit"
"442","11","Biathlon Women's 12.5 kilometres Mass Start"
"443","11","Biathlon Women's 4 x 6 kilometres Relay"
"444","23","Fencing Women's Sabre, Team"
"445","25","Shooting Men's Double Trap"
"446","16","Weightlifting Men's Bantamweight"
"447","27","Taekwondo Men's Heavyweight"
"448","10","Sailing Mixed Windsurfer"
"449","27","Taekwondo Women's Welterweight"
"450","25","Shooting Mixed Free Rifle, Three Positions, 300 metres"
"451","53","Skeleton Men's Skeleton"
"452","28","Cycling Men's 50 kilometres"
"453","25","Shooting Mixed Rapid-Fire Pistol, 25 metres"
"454","28","Cycling Men's 333 metres Time Trial"
"455","28","Cycling Men's 20 kilometres"
"456","30","Canoeing Men's Kayak Singles, 10,000 metres"
"457","10","Sailing Mixed Open"
"458","10","Sailing Mixed 1-2 Ton"
"459","30","Canoeing Men's Canadian Singles, Slalom"
"460","18","Luge Men's Singles"
"461","18","Luge Mixed (Men)'s Doubles"
"462","10","Sailing Mixed Multihull"
"463","9","Badminton Women's Doubles"
